Name	ORF
YGL074C	YGL074C
YGL072C	YGL072C
AGA2	YGL032C
RPL24A	YGL031C
LEU1	YGL009C
YGR051C	YGR051C
YGR079W	YGR079W
YGR107W	YGR107W
CLB6	YGR109C
RPS23A	YGR118W
ECL1	YGR146C
RPL24B	YGR148C
YGR164W	YGR164W
YIP1	YGR172C
YGR176W	YGR176W
RNR4	YGR180C
BUB1	YGR188C
YGR242W	YGR242W
TAF1	YGR274C
SCW4	YGR279C
PXR1	YGR280C
BGL2	YGR282C
ZUO1	YGR285C
ETP1	YHL010C
YH5C	YHL005C
MRP4	YHL004W
TIM10	YHR005C-A
RPL27A	YHR010W
RPS27B	YHR021C
THR1	YHR025W
BRL1	YHR036W
DOG1	YHR044C
CUP1-1	YHR053C
NOP10	YHR072W-A
RPL42B	YHR141C
CHS7	YHR142W
RPC10	YHR143W-A
GPI16	YHR188C
ERG9	YHR190W
BAT1	YHR208W
SDL1	YIL167W
UBP7	YIL156W
RRD1	YIL153W
PAN6	YIL145C
PRM5	YIL117C
NUP159	YIL115C
YIL102C	YIL102C
PRM2	YIL037C
EMC5	YIL027C
FAF1	YIL019W
BAR1	YIL015W
URM1	YIL008W
GAT4	YIR013C
YIR016W	YIR016W
DAL1	YIR027C
LYS1	YIR034C
PAU15	YIR041W
YIR043C	YIR043C
YJL225C	YJL225C
YJL220W	YJL220W
BUD19	YJL188C
YJL182C	YJL182C
SET2	YJL168C
JJJ2	YJL162C
CIS3	YJL158C
RPS21B	YJL136C
YJL118W	YJL118W
NCA3	YJL116C
YJL022W	YJL022W
SAG1	YJR004C
YJR020W	YJR020W
YJR023C	YJR023C
BNA1	YJR025C
BNA2	YJR078W
YJR079W	YJR079W
RPL43B	YJR094W-A
TDA4	YJR116W
STE24	YJR117W
BAT2	YJR148W
THI11	YJR156C
HXT16	YJR158W
URA1	YKL216W
STE6	YKL209C
STE3	YKL178C
YKL177W	YKL177W
PIR1	YKL164C
ELF1	YKL160W
RPS27A	YKL156W
AVT3	YKL146W
SSH4	YKL124W
OAC1	YKL120W
YKL107W	YKL107W
YKL097C	YKL097C
YKL071W	YKL071W
YKL030W	YKL030W
URB1	YKL014C
YKR012C	YKR012C
PRY2	YKR013W
UTH1	YKR042W
RPS21A	YKR057W
PTR2	YKR093W
GTT2	YLL060C
YLL054C	YLL054C
POM33	YLL023C
PSR1	YLL010C
SPO75	YLL005C
SNF7	YLR025W
YLR030W	YLR030W
AFB1	YLR040C
YLR041W	YLR041W
TRX1	YLR043C
FCF2	YLR051C
ERG3	YLR056W
RPL22A	YLR061W
BUD28	YLR062C
ALT1	YLR089C
ICT1	YLR099C
YLR125W	YLR125W
YLR156W	YLR156W
SAM1	YLR180W
YLR184W	YLR184W
RPL37A	YLR185W
YLR269C	YLR269C
RPS30A	YLR287C-A
YLR297W	YLR297W
YLR302C	YLR302C
MET17	YLR303W
YLR311C	YLR311C
NMA1	YLR328W
YLR339C	YLR339C
RPP0	YLR340W
SPO77	YLR341W
GAS2	YLR343W
DIC1	YLR348C
YLR349W	YLR349W
ELO3	YLR372W
YLR374C	YLR374C
CSR1	YLR380W
RPS29A	YLR388W
CCW14	YLR390W-A
URA4	YLR420W
RPN13	YLR421C
MRPL4	YLR439W
YLR444C	YLR444C
YLR458W	YLR458W
YLR460C	YLR460C
YML131W	YML131W
ERG13	YML126C
PHO84	YML123C
ATR1	YML116W
YML090W	YML090W
TUB1	YML085C
YML083C	YML083C
ATP18	YML081C-A
CMP2	YML057W
SPC2	YML055W
OST6	YML019W
IOC4	YMR044W
ADH3	YMR083W
YMR099C	YMR099C
ADE17	YMR120C
RIM11	YMR139W
YIM2	YMR151W
YMR181C	YMR181C
RPL36A	YMR194W
RPS10B	YMR230W
YMR244W	YMR244W
TIF11	YMR260C
DSK2	YMR276W
YMR290W-A	YMR290W-A
ADH2	YMR303C
ADH6	YMR318C
SNO4	YMR322C
YNL337W	YNL337W
DDI3	YNL335W
KRE1	YNL322C
YNL319W	YNL319W
BXI1	YNL305C
TOS6	YNL300W
PRM1	YNL279W
MET2	YNL277W
YIF1	YNL263C
ATX1	YNL259C
SUI1	YNL244C
YNL205C	YNL205C
RPL42A	YNL162W
YNL150W	YNL150W
LSM7	YNL147W
YNL146W	YNL146W
CPT1	YNL130C
DMA2	YNL116W
NOP15	YNL110C
YNL089C	YNL089C
TOM7	YNL070W
YNL057W	YNL057W
POR1	YNL055C
LAP2	YNL045W
HHF2	YNL030W
ATO2	YNR002C
YNR042W	YNR042W
MVD1	YNR043W
AGA1	YNR044W
YNR068C	YNR068C
YNR071C	YNR071C
PAU6	YNR076W
YOL166C	YOL166C
YOL162W	YOL162W
NOP8	YOL144W
RIB4	YOL143C
ARG8	YOL140W
GAS4	YOL132W
YOL131W	YOL131W
RPL25	YOL127W
MDH2	YOL126C
MDY2	YOL111C
ZEO1	YOL109W
ADH1	YOL086C
YOL079W	YOL079W
DSC2	YOL073C
ARG1	YOL058W
LDS2	YOL047C
YOL019W	YOL019W
YO8C-A	YOR008C-A
TIR2	YOR010C
YOR019W	YOR019W
HSP10	YOR020C
HST3	YOR025W
YOR029W	YOR029W
DFG16	YOR030W
AKR2	YOR034C
TOM6	YOR045W
YOR055W	YOR055W
RPL3	YOR063W
VAM10	YOR068C
LPX1	YOR084W
YOR102W	YOR102W
ADE2	YOR128C
BAG7	YOR134W
RPS30B	YOR182C
FYV12	YOR183W
HIS3	YOR202W
YOR203W	YOR203W
RPB10	YOR210W
SPR2	YOR214C
YOR225W	YOR225W
ISU2	YOR226C
WTM2	YOR229W
WTM1	YOR230W
ABP140	YOR239W
PUS7	YOR243C
ENV9	YOR246C
SRL1	YOR247W
YOR248W	YOR248W
TMA16	YOR252W
OSW1	YOR255W
YOR282W	YOR282W
RPS10A	YOR293W
SLY41	YOR307C
SFG1	YOR315W
PYK2	YOR347C
MEK1	YOR351C
YOR379C	YOR379C
PHR1	YOR386W
PAU21	YOR394W
FEX2	YPL279C
CLN2	YPL256C
VIK1	YPL253C
YAH1	YPL252C
YPL247C	YPL247C
RBD2	YPL246C
APL5	YPL195W
PRM3	YPL192C
MF(ALPHA)1	YPL187W
OYE3	YPL171C
SVS1	YPL163C
NOP53	YPL146C
YPL142C	YPL142C
YPL136W	YPL136W
SPC29	YPL124W
MEI5	YPL121C
SSU1	YPL092W
YPL080C	YPL080C
CAM1	YPL048W
YPL044C	YPL044C
NOP4	YPL043W
SRL4	YPL033C
PHO85	YPL031C
CMR3	YPR013C
YPR076W	YPR076W
YPR150W	YPR150W
BET2	YPR176C
YPR177C	YPR177C
YPR197C	YPR197C
ARR2	YPR200C
ERV46	YAL042W
CYC3	YAL039C
PRP45	YAL032C
FUN26	YAL022C
SYN8	YAL014C
CYS3	YAL012W
PRM9	YAR031W
YAR070C	YAR070C
PHO11	YAR071W
YAR075W	YAR075W
YBL070C	YBL070C
MOH1	YBL049W
FUI1	YBL042C
HEK2	YBL032W
LSM2	YBL026W
UGA2	YBR006W
HHF1	YBR009C
YBR012C	YBR012C
YBR013C	YBR013C
RPL4A	YBR031W
FIG1	YBR040W
GIP1	YBR045C
REG2	YBR050C
YBR051W	YBR051W
TIP1	YBR067C
ARG3	YJL088W
TRL1	YJL087C
PRY1	YJL079C
YJL043W	YJL043W
IRC18	YJL037W
YPL276W	YPL276W
YBR219C	YBR219C
YGR109W-A	YGR109W-A
YIL082W-A	YIL082W-A
LYS21	YDL131W
YAL037C-A	YAL037C-A
CBP6	YBR120C
OPY1	YBR129C
YDL187C	YDL187C
VMA1	YDL185W
CYK3	YDL117W
BMH2	YDR099W
YDR199W	YDR199W
RAD9	YDR217C
SIR4	YDR227W
CTA1	YDR256C
EXG2	YDR261C
PEX3	YDR329C
CTS2	YDR371W
STL1	YDR536W
CIN8	YEL061C
VMA8	YEL051W
SMB1	YER029C
HSP12	YFL014W
HXK1	YFR053C
BOL2	YGL220W
TAF6	YGL112C
YGK1	YGL101W
YGL042C	YGL042C
HOP2	YGL033W
TIM21	YGR033C
CTT1	YGR088W
SOD2	YHR008C
TRR2	YHR106W
CRP1	YHR146W
SER33	YIL074C
PIG2	YIL045W
AGE2	YIL044C
PAU1	YJL223C
SOD1	YJR104C
EFM3	YJR129C
ELM1	YKL048C
RIX7	YLL034C
GPI13	YLL031C
THI73	YLR004C
PUT1	YLR142W
ATG26	YLR189C
BNA5	YLR231C
LCB5	YLR260W
COQ11	YLR290C
SFH1	YLR321C
CNA1	YLR433C
VMA6	YLR447C
PDP3	YLR455W
AIM34	YMR003W
TAF4	YMR005W
DDR48	YMR173W
YMR173W-A	YMR173W-A
ERG2	YMR202W
GAS3	YMR215W
GAD1	YMR250W
ABZ2	YMR289W
YMR294W-A	YMR294W-A
YNL324W	YNL324W
RTC4	YNL254C
SPC98	YNL126W
YNL109W	YNL109W
OCA1	YNL099C
COG5	YNL051W
YNL013C	YNL013C
PYP1	YNL010W
NRM1	YNR009W
RCF2	YNR018W
MRPL50	YNR022C
POP2	YNR052C
BDS1	YOL164W
PAU20	YOL161C
HMI1	YOL095C
HTZ1	YOL012C
WHI2	YOR043W
GYP1	YOR070C
RTS2	YOR077W
WHI5	YOR083W
IES4	YOR189W
GNT1	YOR320C
TFB6	YOR352W
NDD1	YOR372C
FIT2	YOR382W
KAR9	YPL269W
PUS1	YPL212C
MRX4	YPL168W
HHO1	YPL127C
TFB2	YPL122C
DPC25	YPL107W
ELP4	YPL101W
KTR6	YPL053C
SVL3	YPL032C
MRPS16	YPL013C
ICL2	YPR006C
GDH3	YAL062W
BNA4	YBL098W
PIN4	YBL051C
HSP26	YBR072W
YBR134W	YBR134W
CKS1	YBR135W
SDS24	YBR214W
YPT10	YBR264C
YCL042W	YCL042W
GLK1	YCL040W
CTO1	YCR015C
HSP30	YCR021C
YCR041W	YCR041W
YCR043C	YCR043C
BUD23	YCR047C
IMG2	YCR071C
AAD3	YCR107W
THI13	YDL244W
GYP7	YDL234C
RPC53	YDL150W
PCL2	YDL127W
YDL124W	YDL124W
RXT3	YDL076C
STP4	YDL048C
MTF2	YDL044C
RCR2	YDR003W
MAF1	YDR005C
GCV1	YDR019C
FYV1	YDR024W
PST1	YDR055W
AIM7	YDR063W
RRG1	YDR065W
TPS2	YDR074W
DPB4	YDR121W
MTC5	YDR128W
CPR1	YDR155C
UBC1	YDR177W
RVB1	YDR190C
RNH202	YDR279W
XRS2	YDR369C
DXO1	YDR370C
YDR401W	YDR401W
DIT1	YDR403W
TIF35	YDR429C
YDR431W	YDR431W
YDR433W	YDR433W
PPM1	YDR435C
RIB3	YDR487C
SEC20	YDR498C
GRH1	YDR517W
SPS1	YDR523C
RBA50	YDR527W
YDR537C	YDR537C
NPP2	YEL016C
KRE29	YER038C
MXR1	YER042W
PIC2	YER053C
VHR2	YER064C
RTR1	YER139C
SPI1	YER150W
GSY1	YFR015C
IGD1	YFR017C
CDC14	YFR028C
QCR6	YFR033C
ERJ5	YFR041C
RTG2	YGL252C
SAP4	YGL229C
COG1	YGL223C
ARO8	YGL202W
MND1	YGL183C
NUP49	YGL172W
SPO74	YGL170C
LYS5	YGL154C
PEX14	YGL153W
OLE1	YGL055W
RIM8	YGL045W
DST1	YGL043W
MUP1	YGR055W
RRP46	YGR095C
TPO2	YGR138C
YGR139W	YGR139W
YGR151C	YGR151C
RSR1	YGR152C
GTO1	YGR154C
RIE1	YGR250C
YOR1	YGR281W
MAL12	YGR292W
YHL045W	YHL045W
AIM17	YHL021C
RPS20	YHL015W
PRS3	YHL011C
ARG4	YHR018C
YHR180W	YHR180W
RPN10	YHR200W
SSL2	YIL143C
YIL141W	YIL141W
KGD1	YIL125W
COX5B	YIL111W
DPH1	YIL103W
AIR1	YIL079C
RCI37	YIL077C
NRE1	YIR035C
ASF1	YJL115W
YJL017W	YJL017W
REC107	YJR021C
UTR1	YJR049C
OSM1	YJR051W
BFA1	YJR053W
YJR084W	YJR084W
NNF1	YJR112W
JHD2	YJR119C
DAN4	YJR151C
SEG2	YKL105C
SFK1	YKL051W
CSE4	YKL049C
GPX1	YKL026C
SIS2	YKR072C
HSP104	YLL026W
HIF1	YLL022C
MLO50	YLR049C
SHM2	YLR058C
GIS3	YLR094C
YPS1	YLR120C
YLR177W	YLR177W
TOS4	YLR183C
SYM1	YLR251W
GSY2	YLR258W
NEJ1	YLR265C
JIP3	YLR331C
BUD8	YLR353W
STP3	YLR375W
REH1	YLR387C
DAT1	YML113W
TSL1	YML100W
YOX1	YML027W
CDC5	YMR001C
ERG5	YMR015C
MSS1	YMR023C
CTF18	YMR078C
YMR084W	YMR084W
YMR103C	YMR103C
YPK2	YMR104C
PGM2	YMR105C
GAT2	YMR136W
NDE1	YMR145C
GCV2	YMR189W
CLN1	YMR199W
ERG8	YMR220W
TDA1	YMR291W
YMR321C	YMR321C
YNL338W	YNL338W
STB1	YNL309W
PCL1	YNL289W
BNI1	YNL271C
CHS1	YNL192W
MRPL19	YNL185C
MRPL22	YNL177C
YGP1	YNL160W
ASI2	YNL159C
NAF1	YNL124W
YNL120C	YNL120C
RHO2	YNL090W
YNL035C	YNL035C
ARE2	YNR019W
YNR066C	YNR066C
AAD15	YOL165C
IZH4	YOL101C
CDC21	YOR074C
ECM3	YOR092W
PDR5	YOR153W
RPB8	YOR224C
SEC63	YOR254C
HRK1	YOR267C
TPO4	YOR273C
FRT1	YOR324C
FRE5	YOR384W
HSP82	YPL240C
CUP9	YPL177C
YDC1	YPL087W
ECM23	YPL021W
CIP1	YPL014W
ISR1	YPR106W
NOC4	YPR144C
QCR2	YPR191W
FLC2	YAL053W
KIN3	YAR018C
YBL112C	YBL112C
BOI1	YBL085W
YBL083C	YBL083C
NTH2	YBR001C
COQ1	YBR003W
CDS1	YBR029C
YRO2	YBR054W
IRC8	YJL051W
CHM7	YJL049W
LOH1	YJL038C
FES1	YBR101C
YBR124W	YBR124W
ARL1	YBR164C
TYR1	YBR166C
YBR174C	YBR174C
RPS6B	YBR181C
GPX2	YBR244W
TRS20	YBR254C
APM3	YBR288C
BSD2	YBR290W
RRP7	YCL031C
RVS161	YCR009C
YCR061W	YCR061W
YDL241W	YDL241W
UGA4	YDL210W
TRM8	YDL201W
RDI1	YDL135C
YDL012C	YDL012C
PAA1	YDR071C
GRX3	YDR098C
CTH1	YDR151C
HSP42	YDR171W
HMO1	YDR174W
YDR209C	YDR209C
YDR210W	YDR210W
HTA1	YDR225W
FCF1	YDR339C
HXT7	YDR342C
PHO8	YDR481C
PRB1	YEL060C
EDC2	YER035W
UBC6	YER100W
ARO2	YGL148W
LCL3	YGL085W
OCH1	YGL038C
UGA1	YGR019W
NNF2	YGR089W
COG2	YGR120C
PRE9	YGR135W
LSB1	YGR136W
YGR137W	YGR137W
BTN2	YGR142W
RTS3	YGR161C
SKI6	YGR195W
ZPR1	YGR211W
NOP19	YGR251W
PUP2	YGR253C
FOL2	YGR267C
RTT102	YGR275W
CAB4	YGR277C
ARD1	YHR013C
CUP1-2	YHR055C
RRP3	YHR065C
YCK1	YHR135C
PHO12	YHR215W
RNR3	YIL066C
RPL34B	YIL052C
LSM1	YJL124C
YRA2	YKL214C
ADD66	YKL206C
MRP8	YKL142W
VPH2	YKL119C
ATP7	YKL016C
MET14	YKL001C
VPS51	YKR020W
SED5	YLR026C
RPL10	YLR075W
HRT3	YLR097C
SRN2	YLR119W
RPS31	YLR167W
DPH5	YLR172C
HCR1	YLR192C
NCW2	YLR194C
YLR232W	YLR232W
GPN3	YLR243W
YLR257W	YLR257W
ECI1	YLR284C
SEC72	YLR292C
YLR294C	YLR294C
PUN1	YLR414C
RPS1A	YLR441C
RPL6B	YLR448W
GIM5	YML094W
RPL6A	YML073C
RPS1B	YML063W
ADI1	YMR009W
ARG7	YMR062C
ABF2	YMR072W
YMR102C	YMR102C
MED11	YMR112C
GID8	YMR135C
RPL13B	YMR142C
TIF34	YMR146C
FPY1	YMR178W
YMR295C	YMR295C
PRE5	YMR314W
DIA1	YMR316W
YMR316C-A	YMR316C-A
RFA2	YNL312W
ZIM17	YNL310C
MRPL10	YNL284C
BOR1	YNL275W
GIS2	YNL255C
RPA49	YNL248C
YNL184C	YNL184C
NPR1	YNL183C
IGO1	YNL157W
YNL108C	YNL108C
YAF9	YNL107W
RPS7B	YNL096C
YDJ1	YNL064C
HHT2	YNL031C
SIS1	YNL007C
RPC34	YNR003C
VPS27	YNR006W
SEC12	YNR026C
TRM112	YNR046W
DCP1	YOL149W
CDC33	YOL139C
RFC4	YOL094C
OPI10	YOL032W
CMK2	YOL016C
YOL014W	YOL014W
ROD1	YOR018W
SFM1	YOR021C
DBP5	YOR046C
ETT1	YOR051C
TMC1	YOR052C
VPS21	YOR089C
RKI1	YOR095C
NPT1	YOR209C
RCN2	YOR220W
CAF20	YOR276W
YOR277C	YOR277C
MUM3	YOR298W
MBF1	YOR298C-A
SNC2	YOR327C
SCP1	YOR367W
ATF1	YOR377W
YOR385W	YOR385W
SAM4	YPL273W
RPL36B	YPL249C-A
OXR1	YPL196W
PRM4	YPL156C
ATG5	YPL149W
TAF14	YPL129W
IDI1	YPL117C
GLR1	YPL091W
RPS6A	YPL090C
YPL034W	YPL034W
SUT2	YPR009W
ARO7	YPR060C
ASN1	YPR145W
UIP3	YAR027W
SEC17	YBL050W
YBL028C	YBL028C
RPL19B	YBL027W
HTA2	YBL003C
RCR1	YBR005W
HHT1	YBR010W
UBC4	YBR082C
RFC5	YBR087W
NET1	YJL076W
PEP8	YJL053W
PHO3	YBR092C
YBR137W	YBR137W
SUP45	YBR143C
ARA1	YBR149W
SSE2	YBR169C
YPC1	YBR183W
NTC20	YBR188C
RPS9B	YBR189W
AIM4	YBR194W
PGI1	YBR196C
KTR3	YBR205W
YBR241C	YBR241C
RIB5	YBR256C
MIC12	YBR262C
YBR266C	YBR266C
EFM2	YBR271W
MRPL27	YBR282W
PHO89	YBR296C
MAL33	YBR297W
CHA1	YCL064C
MIC10	YCL057C-A
APA1	YCL050C
YCL049C	YCL049C
HIS4	YCL030C
YCL023C	YCL023C
YCL021W-A	YCL021W-A
CIT2	YCR005C
PGK1	YCR012W
PET18	YCR020C
MAK31	YCR020C-A
YCR049C	YCR049C
ARE1	YCR048W
PWP2	YCR057C
AHC2	YCR082W
TRX3	YCR083W
TUP1	YCR084C
ABP1	YCR088W
GIT1	YCR098C
YCR102C	YCR102C
PAU3	YCR104W
ADH7	YCR105W
GCS1	YDL226C
INH1	YDL181W
PCL9	YDL179W
DLD2	YDL178W
DLD1	YDL174C
YDL159W-A	YDL159W-A
YDL157C	YDL157C
CCT4	YDL143W
TRM3	YDL112W
GET3	YDL100C
NDE2	YDL085W
SUB2	YDL084W
RPL13A	YDL082W
YET3	YDL072C
COX9	YDL067C
NAT1	YDL040C
RTK1	YDL025C
GPD1	YDL022W
GPM2	YDL021W
ATP16	YDL004W
NTH1	YDR001C
SES1	YDR023W
UBC5	YDR059C
FMP16	YDR070C
PET	YDR079W
VTC5	YDR089W
TRM1	YDR120C
SAN1	YDR143C
TAF12	YDR145W
KGD2	YDR148C
YDR149C	YDR149C
SDH4	YDR178W
CDC1	YDR182W
COX20	YDR231C
SEC26	YDR238C
YDR239C	YDR239C
SRP101	YDR292C
DPL1	YDR294C
UTP4	YDR324C
HXT3	YDR345C
SVF1	YDR346C
ATP22	YDR350C
TRR1	YDR353W
SEM1	YDR363W-A
PHO92	YDR374C
LSM6	YDR378C
SDH6	YDR379C-A
HPT1	YDR399W
ADE8	YDR408C
NPL3	YDR432W
TSA2	YDR453C
EMI1	YDR512C
QCR7	YDR529C
HSP31	YDR533C
DLD3	YEL071W
HPA3	YEL066W
SOM1	YEL059C-A
CYC7	YEL039C
RAD23	YEL037C
RIP1	YEL024W
URA3	YEL021W
TIM9	YEL020W-A
ARB1	YER036C
ERG28	YER044C
TPA1	YER049W
HIS1	YER055C
FCY2	YER056C
FCY21	YER060W
FCY22	YER060W-A
CEM1	YER061C
RNR1	YER070W
YOS1	YER074W-A
SER3	YER081W
SHC1	YER096W
SHO1	YER118C
YER137C	YER137C
YER156C	YER156C
BUR6	YER159C
TMT1	YER175C
PDA1	YER178W
YER187W	YER187W
SNO3	YFL060C
SNZ3	YFL059W
AAD16	YFL057C
AAD6	YFL056C
EMP47	YFL048C
AGX1	YFL030W
VTC2	YFL004W
RSC8	YFR037C
IRC6	YFR043C
RET2	YFR051C
HXK2	YGL253W
GUS1	YGL245W
COX13	YGL191W
TOS3	YGL179C
RCK1	YGL158W
PCL10	YGL134W
GPG1	YGL121C
PRP43	YGL120C
YGL117W	YGL117W
NSA1	YGL111W
YGL108C	YGL108C
ARC1	YGL105W
SRM1	YGL097W
MMS2	YGL087C
PUS2	YGL063W
PYC1	YGL062W
NQM1	YGR043C
YGR054W	YGR054W
ADE6	YGR061C
YGR067C	YGR067C
ROM1	YGR070W
MRPL25	YGR076C
PAC10	YGR078C
PIL1	YGR086C
UTP22	YGR090W
TPC1	YGR096W
YGR114C	YGR114C
ENP2	YGR145W
YGR153W	YGR153W
TIF4631	YGR162W
QCR9	YGR183C
ADE3	YGR204W
MVB12	YGR206W
CIR1	YGR207C
SER2	YGR208W
RTA1	YGR213C
BNS1	YGR230W
PHB2	YGR231C
YHB1	YGR234W
SOL4	YGR248W
ENO1	YGR254W
TNA1	YGR260W
APL6	YGR261C
YHL037C	YHL037C
RPL8A	YHL033C
WSC4	YHL028W
SHU1	YHL006C
LAG1	YHL003C
